end_date,n_assets,mean_corr,lambda_max,spectral_entropy,mst_total_length,mst_max_degree_norm,mst_degree_gini,cluster_stability_nmi
2008-01-31,411,0.30611247009864634,143.2576443753776,0.39992174778976025,255.10508840726794,0.01951219512195122,0.3099816034656696,
2008-02-07,411,0.3313570624284015,152.84769821512288,0.39600484755510723,254.25241487611694,0.01707317073170732,0.30973829446323664,0.30446027770086787
2008-02-14,411,0.3204596794130209,149.29803959529102,0.3975512560046772,252.52329671429968,0.01707317073170732,0.30115126698712236,0.5103461305405513
2008-02-22,411,0.31929831967768574,150.3080973605039,0.4052630127018872,261.5718499106413,0.01707317073170732,0.28940122247937805,0.28448919961909314
2008-02-29,411,0.3701177378672253,168.54283920053226,0.3872408008007245,250.28300105317945,0.02195121951219512,0.32177912290071803,0.2917448640080222
2008-03-07,411,0.339114846908457,155.5842557516608,0.39942400379872245,259.6102874269519,0.01951219512195122,0.30359622574327927,0.26418796945595757
2008-03-14,411,0.42899842502534524,196.33346493002512,0.3600692691589485,235.8587187534183,0.02195121951219512,0.31302593317903976,0.3382815070313304
2008-03-24,411,0.5029309603311717,221.88318591342687,0.3273928217537143,217.14119593515008,0.02926829268292683,0.31799893181413563,0.4206781140223058
2008-03-31,411,0.47234652700339674,211.62961510572984,0.33906067190210387,221.75981910823222,0.01951219512195122,0.2962138745475046,0.6347492498657112
2008-04-07,411,0.49147617994171955,218.5002119987626,0.32961612799796414,217.85074491522548,0.026829268292682926,0.3115245386030503,0.6802784109218913
2008-04-14,411,0.4554395693323456,203.80257792748466,0.34494749367131405,227.39384172693175,0.01707317073170732,0.308314046644116,0.4861370861462003
2008-04-21,411,0.38926568982767057,177.8224562859844,0.37894112450389206,251.08059393901092,0.01951219512195122,0.31178565070322234,0.27180316910434116
2008-04-28,411,0.3504378780557378,160.03964019432863,0.3952714473269546,255.0076266298281,0.01951219512195122,0.30699661741142964,0.2237256133973352
2008-05-05,411,0.26867273319513385,134.4368011114006,0.4182665285719138,269.4174658853168,0.014634146341463415,0.29300931695448346,0.35568730342268634
2008-05-12,411,0.2654093773642572,134.56328781781667,0.4184723161641037,265.8713585257062,0.01951219512195122,0.3015073289419026,0.506655272506197
2008-05-19,411,0.2149623919961685,121.03159077306012,0.4297338105171222,278.4286600821132,0.01951219512195122,0.2903803928550235,0.4320994720050656
2008-05-27,411,0.2877376652745653,149.61600076981,0.40631785760004535,265.5896827162857,0.01951219512195122,0.3006349771526912,0.41390972172350426
2008-06-03,411,0.2948696656411572,144.65852946801778,0.41103731320575854,270.8204713009191,0.01707317073170732,0.30679484897038745,0.3497562371118997
2008-06-10,411,0.37780121668462385,172.1425149534494,0.3835784910302978,251.7438772340939,0.03170731707317073,0.31290131149486683,0.33471037492570216
2008-06-17,411,0.4245899138174631,192.7898484948583,0.3613416888338605,239.08353340906493,0.01951219512195122,0.308088540739422,0.5116243409694289
